param_kernel,param_class_weight,param_C,param_gamma,mean_test_F1,mean_test_AUC
rbf,balanced,67.32248920775338,0.0014330109455635695,0.8616578697698766,0.9273400673400674
linear,,0.0745934328572655,0.00035506214270707734,0.8534282460462573,0.9126695526695526
linear,,2.5207959530489195,0.00015673095467235422,0.8533607206360015,0.9116786916786918
linear,balanced,13.921548533046511,0.07866216981266846,0.8420619062553655,0.9103270803270803
linear,balanced,0.033205591037519584,0.0001050023250423136,0.8396038630529142,0.9100432900432901
linear,balanced,0.011526449540315618,0.09476210031010524,0.8307895397564868,0.9065031265031265
rbf,balanced,0.13359166801651828,0.004366473592979638,0.7600132021141706,0.8627898027898028
rbf,balanced,0.09022004468565618,0.009717775305059635,0.7585760475104738,0.8692400192400193
rbf,balanced,1.1219752813215704,0.00012681352169084607,0.7406653972283932,0.8190043290043291
poly,,0.19069966103000435,0.007164040428191013,0.7224449560068806,0.82997113997114
poly,balanced,0.9643857615941438,0.00029375384576328325,0.7220216606498195,0.7910485810485811
rbf,balanced,0.001267425589893723,0.01465535411872771,0.7220216606498195,0.8124531024531025
rbf,balanced,0.0014340571602734114,0.021154290797261225,0.7220216606498195,0.8138961038961039
poly,balanced,0.0030786517836196197,0.0005285382203816729,0.7220216606498195,0.7910485810485811
poly,,0.028585493941961918,0.0015833718339012073,0.7220216606498195,0.8116305916305917
poly,,82.4431219090508,0.000137832374550072,0.7220216606498195,0.8116305916305917
rbf,,0.0027698899227562817,0.0036517646487517572,0.7220216606498195,0.8333573833573834
poly,,0.19780827689353775,0.006358358856676255,0.72157348920387,0.8298989898989898
poly,balanced,0.0945695189734589,0.00621870472776908,0.48134777376654636,0.791120731120731
poly,balanced,0.04233032996527596,0.017456626922659337,0.31064677574296967,0.7941510341510343
