param_n_neighbors,param_weights,param_metric,mean_test_F1,mean_test_AUC
1,distance,manhattan,0.9149589382028421,0.8879292929292929
4,distance,manhattan,0.9106775291558481,0.9491991341991343
7,distance,manhattan,0.9095115308508065,0.9590596440596441
28,distance,manhattan,0.9028352457288825,0.9627080327080327
3,uniform,manhattan,0.892393102699853,0.9271260221260221
6,distance,euclidean,0.8920322002643064,0.9384607984607986
17,uniform,manhattan,0.8816844588142682,0.9366329966329966
24,distance,euclidean,0.8808982726627175,0.9445454545454545
21,uniform,manhattan,0.8796093700030435,0.9346969696969697
19,uniform,euclidean,0.8621359286239577,0.9128475228475228
10,distance,chebyshev,0.860418505229071,0.9092087542087541
22,uniform,euclidean,0.8550238768151252,0.9118999518999519
20,distance,chebyshev,0.8513107300416461,0.901952861952862
11,distance,chebyshev,0.8506685475890056,0.907029822029822
11,distance,chebyshev,0.8506685475890056,0.907029822029822
7,uniform,chebyshev,0.8428912596837126,0.8779509379509379
30,distance,chebyshev,0.8401260566513421,0.9012626262626263
22,uniform,chebyshev,0.8113241201992608,0.8577152477152477
20,uniform,chebyshev,0.8100520738037962,0.8586916786916786
30,uniform,chebyshev,0.7968796559438195,0.8552453102453103
